slug,title,cluster,summary,status,target_analytical,target_technical,target_creative,target_social,target_helping,target_leadership,target_structured,target_exploratory,target_detail,target_verbal,target_quantitative,target_practical,weight_analytical,weight_technical,weight_creative,weight_social,weight_helping,weight_leadership,weight_structured,weight_exploratory,weight_detail,weight_verbal,weight_quantitative,weight_practical,critical_dimensions,important_subjects,hobby_signals,preferred_environments,why_fit_template,first_steps_template,notes
programmer,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontend-developer,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backend-developer,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullstack-developer,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobile-developer,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa-engineer,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
system-analyst,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business-analyst,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-analyst,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bi-analyst,,IT и цифровые технологии,,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux-ui-designer,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product-designer,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graphic-designer,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion-designer,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illustrator,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video-editor,,"Дизайн, креатив, медиа",,draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
