id,cluster,slug,title_ru,summary_ru
1,IT и цифровые технологии,programmer,Программист,"Разрабатывает программные решения, приложения и цифровые продукты."
2,IT и цифровые технологии,frontend-developer,Frontend-разработчик,Создаёт интерфейсы сайтов и веб-приложений.
3,IT и цифровые технологии,backend-developer,Backend-разработчик,"Отвечает за серверную логику, API и обработку данных."
4,IT и цифровые технологии,fullstack-developer,Fullstack-разработчик,"Работает и с интерфейсом, и с серверной частью продукта."
5,IT и цифровые технологии,mobile-developer,Мобильный разработчик,Создаёт приложения для смартфонов и планшетов.
6,IT и цифровые технологии,qa-engineer,QA-инженер / тестировщик,Проверяет качество цифровых продуктов и ищет дефекты.
7,IT и цифровые технологии,system-analyst,Системный аналитик,Определяет требования к системам и связывает бизнес с разработкой.
8,IT и цифровые технологии,business-analyst,Бизнес-аналитик,Анализирует процессы и помогает находить решения для бизнеса.
9,IT и цифровые технологии,data-analyst,Аналитик данных,"Изучает данные, ищет закономерности и строит выводы."
10,IT и цифровые технологии,bi-analyst,BI-аналитик,Готовит отчёты и дашборды для принятия управленческих решений.
11,"Дизайн, креатив, медиа",ux-ui-designer,UX/UI дизайнер,Проектирует удобные и понятные цифровые интерфейсы.
12,"Дизайн, креатив, медиа",product-designer,Product Designer,Отвечает за дизайн цифрового продукта от идеи до интерфейса.
13,"Дизайн, креатив, медиа",graphic-designer,Графический дизайнер,"Создаёт визуальные материалы для брендов, продуктов и коммуникаций."
14,"Дизайн, креатив, медиа",motion-designer,Motion Designer,"Создаёт анимацию, ролики и динамическую графику."
15,"Дизайн, креатив, медиа",illustrator,Иллюстратор,Создаёт рисунки и визуальные образы для цифровых и печатных материалов.
16,"Дизайн, креатив, медиа",video-editor,Видеомонтажёр,Собирает и обрабатывает видеоматериалы в законченные истории.
17,"Дизайн, креатив, медиа",photographer,Фотограф,"Создаёт фото-контент для медиа, брендов и частных проектов."
18,"Дизайн, креатив, медиа",content-creator,Контент-креатор,Создаёт контент для цифровых платформ и соцсетей.
19,"Дизайн, креатив, медиа",art-director,Арт-директор,Определяет визуальное направление проектов и креативных команд.
20,"Дизайн, креатив, медиа",digital-designer,Дизайнер цифровых продуктов,"Проектирует визуальные решения для сайтов, сервисов и приложений."
21,"Маркетинг, коммуникации, контент",marketer,Маркетолог,"Продвигает продукты и услуги, изучает аудиторию и рынок."
22,"Маркетинг, коммуникации, контент",digital-marketer,Digital marketing specialist,Продвигает продукт в цифровых каналах.
23,"Маркетинг, коммуникации, контент",smm-specialist,SMM-специалист,Развивает бренд и коммуникацию через социальные сети.
24,"Маркетинг, коммуникации, контент",content-manager,Контент-менеджер,"Планирует, публикует и управляет контентом."
25,"Маркетинг, коммуникации, контент",copywriter,Копирайтер,"Пишет тексты для рекламы, сайтов и коммуникаций."
26,"Маркетинг, коммуникации, контент",editor,Редактор,"Улучшает тексты, контент и качество подачи материалов."
27,"Маркетинг, коммуникации, контент",pr-specialist,PR-специалист,Строит публичный образ бренда или организации.
28,"Маркетинг, коммуникации, контент",brand-manager,Бренд-менеджер,Развивает позиционирование и узнаваемость бренда.
29,"Маркетинг, коммуникации, контент",seo-specialist,SEO-специалист,Помогает сайтам получать органический трафик из поиска.
30,"Маркетинг, коммуникации, контент",community-manager,Комьюнити-менеджер,Развивает сообщество вокруг продукта или бренда.
31,"Бизнес, управление, продажи",product-manager,Product Manager,"Развивает продукт, определяет приоритеты и координирует команду."
